gid,건축면적,건축물높이,건축물수,건축물연면적,건폐율,고등학생인구수,고령인구수,공동건축물수,생산가능인구수,용적율,유소년인구수,유아인구수,중학생인구수,초등학생인구수,총인구수,연령20대수,연령30대수,연령40대수,연령50대수,연령60대수,연령70대수,연령80대수,연령90대수,연령100대이상수,공시지가,노후건물수20년,노후건물수30년,응급의료시설접근성,보건기관접근성,주차장접근성,토지이용복합도,토지이용압축도,화재발생수,화재재산피해합계,화재재산피해평균,화재인명피해합계,화재인명피해평균,화재진압시간합계,화재진압시간평균,구조발생수,구조대상자수합계,구조대상자수평균,구조사망합계,구조사망평균,구조안전구조합계,구조안전구조평균,구조경상합계,구조경상평균,구조중상합계,구조중상평균,구조행방불명합계구조,구조행방불명평균,구급발생수
라라65a95a,94.12,5.22,32,102.67,26.13,0,14,0,11,34.86,0,0,0,0,27,0,0,0,0,12,0,0,0,0,9361.75,22,15,18.417,7.591,13.645,4,1.31,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,NA
라라70a90a,149.1,0,2,149.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2833.69,2,2,17.434,2.464,2.459,1,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
라라53a94a,91.81,4.47,20,95.31,29.85,0,17,0,22,29.56,0,0,0,0,39,0,0,0,7,0,6,6,0,0,58428.23,15,10,10.163,4.401,4.323,5,0.76,1,1204,1204,0,0,517,517,9,1,0.111111111,0,0,0,0,0,0,0,0,0,0,2
라라59a80b,82.13,6.33,8,95.59,38.23,0,8,0,6,57.01,0,0,0,0,14,0,0,0,0,9,0,0,0,0,12501.84,7,3,11.228,3.093,6.386,4,0.31,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,NA
라라71b86a,203.9,8.92,42,414.42,32.73,13,57,7,150,56.7,22,10,8,10,229,24,14,28,42,45,19,14,0,0,58769.7,30,21,18.981,1.171,3.936,7,6.96,6,38817,6469.5,0,0,3994,665.6666667,63,7,0.111111111,0,0,7,0.111111111,0,0,0,0,0,0,12
라라64a75a,93.17,4.5,8,93.17,30.51,0,0,0,7,30.51,0,0,0,0,16,0,0,0,0,0,0,0,0,0,4546.5,7,3,17.796,2.093,2.13,2,0.3,2,22238,11119,0,0,17524,8762,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
라라60b93a,157.31,7.25,8,158.19,26.21,0,7,0,13,30.32,0,0,0,0,20,6,0,0,0,0,0,0,0,0,57626.38,6,4,11.517,6.13,3.183,2,0.51,2,1636,818,0,0,2164,1082,2,1,0.5,0,0,0,0,0,0,0,0,0,0,NA
라라72b87a,407.23,7.75,3,407.23,33.16,0,0,0,0,33.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7468.69,1,0,19.284,2.975,3.065,2,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
라라57a97b,132.49,5.02,32,136.05,26.49,0,21,0,17,26.11,0,0,0,0,38,0,0,0,0,7,14,0,0,0,13978.24,21,14,14.281,4.161,6.902,6,1.69,2,16225,8112.5,0,0,5532,2766,14,2,0.142857143,0,0,2,0.142857143,0,0,0,0,0,0,4
라라59a90a,111.16,9.7,18,164.76,24.26,0,12,0,16,40.47,0,0,0,0,31,0,0,0,0,10,0,0,0,0,47001.38,12,12,8.586,3.812,1.513,4,1.19,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,NA
